hp,,torque,
X,Y,X,Y
2217.982998454405,17.864803312629405,2176.1070324574957,40.37748447204969
2351.986089644513,21.541897233201595,2267.755575182159,44.70479148181012
2499.3894899536317,24.430265386787127,2378.7867078825348,48.72845849802371
2646.792890262751,26.47007340485601,2526.190108191654,51.176228119706394
2794.19629057187,27.922416713721063,2673.5935085007727,52.22060982495766
2941.5996908809893,29.391078486730663,2820.996908809892,52.61225296442689
3089.003091190108,30.941332580463012,2968.4003091190107,52.61225296442689
3236.4064914992273,32.62213438735178,3115.80370942813,52.791756070016945
3383.8098918083465,33.976566911349536,3263.207109737249,52.98757763975155
3531.2132921174652,35.7552795031056,3410.610510046368,53.23235460191982
3678.6166924265845,37.71349520045173,3558.013910355487,53.738226990400904
3826.0200927357037,40.06335403726709,3705.4173106646062,54.3746470920384
3973.4234930448224,42.11948051948052,3852.820710973725,55.19057029926596
4120.826893353942,43.91451157538114,3997.13173225538,55.27509157509158
4268.23029366306,45.66058723884811,4147.627511591963,55.875945793337095
4415.63369397218,47.194522868435925,4295.030911901082,56.12072275550537
4563.037094281299,48.90796160361377,4445.784389489954,56.57950957556936
4710.440494590417,50.50717108977979,4592.930091546785,56.91823538780061
4857.843894899537,51.97583286278939,4737.241112828439,56.912168266516105
5005.2472952086555,53.28130999435348,4884.6445131375585,56.58579898362508
5152.650695517775,54.79892715979672,5027.581143740341,55.95768921095008
5313.454404945905,57.26301524562395,4991.846986089645,52.090062111801245
5460.857805255024,58.503218520609835,5179.451313755797,56.05544889892715
5608.261205564143,60.15138339920949,5326.854714064915,56.18599661208357
5755.664605873262,62.06064370412197,5474.258114374034,56.21863354037268
5903.0680061823805,64.01885940146809,5621.661514683154,56.26758893280632
6050.4714064915,66.27080745341615,5769.064914992273,56.5450028232637
6197.874806800619,68.65330321852062,5922.051777434313,56.75096946991357
6345.278207109738,70.59520045172219,6063.87171561051,57.94116399128822
6492.681607418857,72.47182382834558,5996.870170015457,52.98757763975155
6640.0850077279765,74.34844720496895,6211.27511591963,58.56359683794467
6787.488408037095,76.04556747600226,6358.678516228749,58.73004517221908
6934.891808346214,77.75900621118012,6506.081916537868,58.82958780350086
7082.295208655333,79.68458498023716,6653.485316846987,58.81163749294184
7229.698608964452,81.61016374929419,6800.888717156106,58.89159796725015
7377.102009273572,83.22569169960474,6955.507668529308,58.65321290166011
7524.505409582691,84.54748729531337,7095.695517774344,59.15595708639188
7671.908809891809,85.5102766798419,7243.098918083463,59.417052512704686
7819.312210200928,86.19565217391305,7390.502318392582,59.417052512704686
7966.715610510048,86.75047995482778,7537.9057187017015,59.172275550536426
8114.119010819167,87.19107848673066,7685.309119010821,58.6386617730096
8261.522411128286,87.7132693393563,7832.712519319939,58.170321852060994
8408.925811437406,88.20282326369284,7982.349304482226,57.24866319957934
8556.329211746524,88.82292490118577,8079.661073084568,56.32889973380658
8703.732612055643,89.44302653867871,8179.058970395911,56.29917980570154
8851.136012364761,89.78571428571428,8328.52395672334,55.40271033314512
8998.53941267388,89.45934500282327,8475.927357032459,54.79892715979672
9145.942812983001,89.10033879164314,8623.330757341577,54.27673630717109
9293.34621329212,88.74133258046302,8770.734157650697,53.68927159796726
9440.749613601238,88.39864483342745,8918.137557959817,52.80807453416149
9588.153013910356,87.97436476566912,9065.540958268935,51.7092979484284
9735.556414219474,87.59904009034443,9212.944358578054,50.621400338791645
9869.559505409583,85.53747412008282,9360.347758887172,49.64229249011858
,,9507.751159196294,48.67950310559007
,,9655.154559505412,47.684076792772444
,,9802.55795981453,46.59073969508752
,,9920.480680061824,44.909937888198755
,,9970.061823802167,40.6916149068323
,,10325.170015455951,40.494161490683226
