hp,,torque,
X,Y,X,Y
17.20000000000001,2016.4456137627512,17.20000000000001,4062.9926323870436
19.000000000000007,2271.1704684668102,19.000000000000007,4563.363485709653
20.800000000000004,2443.819701328207,20.800000000000004,4757.233839347606
22.60000000000001,2586.400410726029,22.60000000000001,4846.301315442183
24.400000000000006,2747.7126312559913,24.400000000000006,4975.4386672566125
26.20000000000001,2942.455999507917,26.20000000000001,5270.489136949827
28.000000000000007,3184.29392811094,28.000000000000007,5495.956938059092
29.80000000000001,3429.2722125112896,29.80000000000001,5660.655288622244
31.60000000000001,3515.5072085854727,31.60000000000001,5694.62259569418
33.40000000000001,3629.31210446153,33.40000000000001,5729.9360501664705
35.20000000000001,3784.265565668108,35.20000000000001,5758.959440625428
37,3924.576031665886,37,5793.699645574075
38.800000000000004,4036.7984164937443,38.800000000000004,5805.50814526207
40.6,4146.516634073036,40.6,5811.880760475214
42.4,4281.117521502917,42.4,5823.601308403077
44.19999999999999,4420.803354348587,44.19999999999999,5830.079961250907
45.999999999999986,4519.04093185738,45.999999999999986,5811.292021331733
47.79999999999998,4611.761692483155,47.79999999999998,5788.4587993344085
49.59999999999999,4728.446023090631,49.59999999999999,5787.819823204785
51.399999999999984,4812.859677627413,51.399999999999984,5758.887734243771
53.19999999999998,4882.692400886342,53.19999999999998,5700.265302417368
54.99999999999998,4940.017178222266,54.99999999999998,5652.829344810123
56.79999999999997,5050.443779556273,56.79999999999997,5647.841807391938
58.599999999999966,5213.795851661896,58.599999999999966,5676.8948943881505
60.39999999999998,5395.302274140172,60.39999999999998,5700.657587004581
62.199999999999974,5506.00158276499,62.199999999999974,5759.153957442876
63.99999999999997,5579.710489366757,63.99999999999997,5746.959155244227
65.79999999999995,5688.103540522906,65.79999999999995,5741.94390587349
67.59999999999995,5772.843921317043,67.59999999999995,5683.556224054231
69.39999999999995,5852.8437900024155,69.39999999999995,5659.558885697318
71.19999999999995,5962.815472540435,71.19999999999995,5659.558886879973
72.99999999999996,6111.425640304975,72.99999999999996,5665.372234427897
74.79999999999995,6211.447529716855,74.79999999999995,5671.275954165956
76.59999999999995,6301.637849835218,76.59999999999995,5671.276059454323
78.39999999999995,6374.151323794735,78.39999999999995,5647.967403280967
80.19999999999993,6462.013286169163,80.19999999999993,5600.925274059017
81.99999999999993,6520.681070466085,81.99999999999993,5550.8059850457685
83.79999999999993,6591.409646059173,83.79999999999993,5524.806417339526
85.59999999999994,6631.578058271354,85.59999999999994,5465.711197773771
87.39999999999993,6637.934005341916,87.39999999999993,5384.37924121768
89.19999999999993,6631.882012350414,89.19999999999993,5298.564297002736
90.99999999999993,6591.943170312461,90.99999999999993,5190.179857318456
92.79999999999993,6531.930298392874,92.79999999999993,5076.620771122205
94.59999999999991,6532.32793294311,94.59999999999991,4997.515119570473
